,date,return on price,return on nav,prem/disc z-score
0,2018-05-14,8.498583569405108,7.49400479616307,-0.008293626928430563
1,2018-05-15,8.07365439093485,7.793764988009596,-0.5000004072323824
2,2018-05-16,8.07365439093485,8.03839232153569,-0.622542394641034
3,2018-05-17,9.568345323741008,6.854983376784901,-0.19586128470104544
4,2018-05-18,8.973438621679827,7.044776119402983,-0.6940267353524261
5,2018-05-21,8.58156028368795,8.242424242424239,0.22147306661533941
6,2018-05-22,8.51063829787235,8.06060606060605,0.2980849191440363
7,2018-05-23,8.427762039660067,8.248043347381103,-0.2805263245449064
8,2018-05-24,8.421797593772112,7.3141486810551495,0.10062109877768702
9,2018-05-25,7.389162561576347,7.660083782166352,-0.5687697661334651
10,2018-05-29,6.184118060435692,6.524317912218276,-1.1723545249452492
11,2018-05-30,7.58959943780745,6.227758007117442,0.01018646832234631
12,2018-05-31,6.8820224719101155,4.919976289270885,0.4486644524484123
13,2018-06-01,7.6869322152340995,6.650831353919245,0.28018911935896107
14,2018-06-04,7.446068197633962,5.3364981518876755,0.9281671117511415
15,2018-06-05,7.86360473208073,6.3993103529717414,0.4611590259389869
16,2018-06-06,8.698677800974252,6.517909571344682,0.5380292149910655
17,2018-06-07,8.84401114206129,6.608555703704573,0.5394453144389249
18,2018-06-08,8.460471567267689,7.86559193598718,-0.11885990583119344
19,2018-06-11,9.663865546218494,7.368272587299152,0.17633041992080636
20,2018-06-12,10.224089635854348,7.720877751789453,0.31308704287203626
21,2018-06-13,9.553695955369603,8.15778311890286,0.039226892040583786
22,2018-06-14,9.839497557571528,8.742546112158472,0.015141097102618262
23,2018-06-15,9.636871508379881,7.732273838630807,0.10822541224046457
24,2018-06-18,8.373702422145335,8.313471930528344,-0.21964182194576554
25,2018-06-19,7.820069204152255,8.19548339901361,-0.5246969765699514
26,2018-06-20,8.932309839497552,8.04144869927283,-0.2927482450634193
27,2018-06-21,8.281141266527497,6.560826767050895,-0.16761329550238468
28,2018-06-22,9.141660851360784,7.454746604524161,0.09362639585941726
29,2018-06-25,7.247386759581888,7.075719092714497,-0.7674684144951196
30,2018-06-26,7.386759581881537,7.193578992651439,-0.7500090627721325
31,2018-06-27,7.363253856942502,5.424787767900742,-0.10637431908284521
32,2018-06-28,6.963788300835655,5.6831154158477695,-0.032863083058051364
33,2018-06-29,8.058864751226352,5.554963215694633,0.8738612241020545
34,2018-07-02,7.247386759581888,6.0946745562130245,0.2312822230847431
35,2018-07-03,6.8989547038327546,5.976331360946755,0.06424346825796398
36,2018-07-05,7.311977715877442,3.855977296913781,1.9337848075334074
37,2018-07-06,8.817354793561943,3.0613931523022386,3.0780546299497047
38,2018-07-09,8.662508662508662,4.4651333902971695,3.004410724744615
39,2018-07-10,8.939708939708947,5.335018513244095,2.5205350572053487
40,2018-07-11,8.240997229916907,5.6473057669970395,1.3644619187026836
41,2018-07-12,8.845888044229437,5.89637915808066,1.6372219344830972
42,2018-07-13,8.459422283356261,5.164789221719097,2.2354924380299144
43,2018-07-16,7.928913192071076,4.966771598461002,1.6982717301236119
44,2018-07-17,8.339029391660963,5.138160195872678,1.841979040298218
45,2018-07-18,8.891928864569088,4.609828183882133,2.216450301166201
46,2018-07-19,8.231292517006809,5.056580987162604,1.8324910223850237
47,2018-07-20,8.435374149659866,5.303245642022223,1.7162425358989624
48,2018-07-23,8.355978260869556,4.4293812735121305,2.055094353024139
49,2018-07-24,8.831521739130427,4.6732428387335485,2.1771526773164456
50,2018-07-25,9.115462525320726,4.98554913294798,2.562583092493869
51,2018-07-26,8.912896691424702,5.391273197901497,2.099403765012117
52,2018-07-27,8.395396073121205,6.079449512733475,0.9464269500854197
53,2018-07-30,6.833558863328822,5.698360769244087,0.32180748895243205
54,2018-07-31,7.374830852503382,4.7959472168850725,1.2483823183377736
55,2018-08-01,7.157326130992564,4.007847210201381,1.7524179382807261
56,2018-08-02,7.547169811320761,7.304587517227812,0.2534580383678799
57,2018-08-03,7.889413351314902,4.617216032545881,1.9915240502055178
58,2018-08-06,7.728494623655916,5.313153428672383,1.8011781100482978
59,2018-08-07,8.40053763440859,5.709337550029817,1.949968366899764
60,2018-08-08,8.96830748482805,5.96587788422069,1.7695584998660352
61,2018-08-09,9.207853757616787,6.274826789838338,1.3495674009631031
62,2018-08-10,10.904071773636993,6.405068559668882,1.0939368978082837
63,2018-08-13,9.375000000000005,8.287985865724377,1.2750065912330464
64,2018-08-14,9.442934782608688,7.59717314487632,1.7297112143440716
65,2018-08-15,9.257998638529621,6.92002068835811,1.7528121380561466
66,2018-08-16,9.938733832539135,6.685593279501084,1.619135319417432
67,2018-08-17,11.072902338376888,8.14833765539057,0.687369450546792
68,2018-08-20,11.663216011042095,7.781839622641513,1.9230234572689278
69,2018-08-21,12.008281573498966,8.127358490566031,1.897892879317113
70,2018-08-22,11.164383561643842,8.58197932053176,1.7398323987313888
71,2018-08-23,10.951403148528415,8.457250715191563,1.6112680990189263
72,2018-08-24,11.720356408498978,7.505779064608764,1.847323297379883
73,2018-08-27,12.748457847840983,8.14361336490273,2.429749537984476
74,2018-08-28,12.748457847840983,8.832774210226365,2.0029507014522734
75,2018-08-29,13.328776486671206,9.439984978641498,2.0425550727298356
76,2018-08-30,12.747102931152005,9.380037161429469,1.837434675655594
77,2018-08-31,11.848341232227488,9.947714484785685,1.3624223772688373
